,0
0,https://www.zomato.com/bangalore/the-nimma-adda-yelahanka-bangalore
1,https://www.zomato.com/bangalore/chatori-chutney-yelahanka-bangalore
2,https://www.zomato.com/bangalore/subway-yelahanka
3,https://www.zomato.com/bangalore/five-star-chicken-yelahanka-bangalore
4,https://www.zomato.com/bangalore/pizza-hut-yelahanka
5,https://www.zomato.com/bangalore/scoops-and-sip-yelahanka-bangalore
6,https://www.zomato.com/bangalore/potful-yelahanka-bangalore
7,https://www.zomato.com/bangalore/mojo-pizza-2x-toppings-yelahanka-bangalore
8,https://www.zomato.com/bangalore/the-coastal-paradise-yelahanka-bangalore
9,https://www.zomato.com/bangalore/d-zaprino-yelahanka-bangalore
10,https://www.zomato.com/bangalore/i-cake-yelahanka-bangalore
11,https://www.zomato.com/bangalore/sadda-adda-yelahanka
12,https://www.zomato.com/bangalore/maa-bhagwathi-hotel-and-mess-yelahanka-bangalore
13,https://www.zomato.com/bangalore/onesta-yelahanka
14,https://www.zomato.com/bangalore/frozen-bottle-yelahanka-bangalore
15,https://www.zomato.com/bangalore/sizzling-chinese-restaurant-yelahanka
16,https://www.zomato.com/bangalore/mealful-wraps-meals-in-a-wrap-yelahanka-bangalore
17,https://www.zomato.com/bangalore/cafe-nosh-3-yelahanka-bangalore
18,https://www.zomato.com/bangalore/urbans-yelahanka
19,https://www.zomato.com/bangalore/cold-smith-ice-creams-yelahanka
20,https://www.zomato.com/bangalore/sri-krishna-upahara-yelahanka
21,https://www.zomato.com/bangalore/meat-and-eat-yelahanka-bangalore
22,https://www.zomato.com/bangalore/lassi-centre-yelahanka-bangalore
23,https://www.zomato.com/bangalore/dunkin-donuts-yelahanka-bangalore
24,https://www.zomato.com/bangalore/the-indian-samosa-yelahanka-bangalore
25,https://www.zomato.com/bangalore/box8-desi-meals-yelahanka-bangalore
26,https://www.zomato.com/bangalore/cafe-chit-chaat-yelahanka-bangalore
27,https://www.zomato.com/bangalore/malabar-hotel-yelahanka-bangalore
28,https://www.zomato.com/bangalore/burger-fast-yelahanka-bangalore
29,https://www.zomato.com/bangalore/faasos-yelahanka
30,https://www.zomato.com/bangalore/kolkata-famous-kati-roll-1-yelahanka
31,https://www.zomato.com/bangalore/sampurna-yelahanka-bangalore
32,https://www.zomato.com/bangalore/tuscanys-pizzeria-yelahanka-bangalore
33,https://www.zomato.com/bangalore/jains-thatte-idli-yelahanka
34,https://www.zomato.com/bangalore/dominos-pizza-yelahanka-bangalore
35,https://www.zomato.com/bangalore/new-mughal-darbar-yelahanka
36,https://www.zomato.com/bangalore/dine-spot-yelahanka
37,https://www.zomato.com/bangalore/purnabramha-maharashtrian-restaurant-yelahanka-bangalore
38,https://www.zomato.com/bangalore/ovenstory-pizza-yelahanka
39,https://www.zomato.com/bangalore/sangam-sweets-yelahanka
40,https://www.zomato.com/bangalore/cauvery-family-restaurant-yelahanka-bangalore
41,https://www.zomato.com/bangalore/chai-resto-yelahanka-bangalore
42,https://www.zomato.com/maa-da-dhaba
43,https://www.zomato.com/bangalore/moms-khichdi-yelahanka-bangalore
44,https://www.zomato.com/bangalore/new-royal-darbar-yelahanka
45,https://www.zomato.com/bangalore/firangi-bake-yelahanka
46,https://www.zomato.com/bangalore/momos-twistatos-yelahanka-bangalore
47,https://www.zomato.com/bangalore/nic-natural-ice-creams-yelahanka-bangalore
48,https://www.zomato.com/bangalore/andhra-vindu-yelahanka-bangalore
49,https://www.zomato.com/bangalore/authentic-chef-by-wooden-table-yelahanka-bangalore
50,https://www.zomato.com/bangalore/sweet-truth-yelahanka
51,https://www.zomato.com/bangalore/the-good-bowl-yelahanka-bangalore
52,https://www.zomato.com/bangalore/midnight-joes-yelahanka-bangalore
53,https://www.zomato.com/bangalore/the-biryani-life-1-yelahanka-bangalore
54,https://www.zomato.com/bangalore/night-food-joint-yelahanka-bangalore
