,links
9452,https://www.swiggy.com/bangalore/goli-vada-pav-sanjay-nagar-bel-road-sanjay-nagar-new-bel-road
9453,https://www.swiggy.com/bangalore/kanti-sweets-sanjay-nagar-new-bel-rd-yeshwanthpur-yeshwanthpur
9454,https://www.swiggy.com/bangalore/karavali-deleux-sanjay-nagar-new-bel-road
9455,https://www.swiggy.com/bangalore/new-hotel-gowda39s-family-restaurant-yeshwanthpur
9456,https://www.swiggy.com/bangalore/tugozi-yeshwanthpur-industrial-area-apmc-ward-yeshwanthpur
9457,https://www.swiggy.com/bangalore/a2b-adyar-ananda-bhavan-yeshwanthpur-yeshwanthpur
9458,https://www.swiggy.com/bangalore/delight-fast-food-restaurant-sanjay-nagar-new-bel-rd-yeshwanthpur-yeshwanthpur
9459,https://www.swiggy.com/bangalore/hotel-lazzat-peenya
9460,https://www.swiggy.com/bangalore/new-agarwal-bhavan-yeshwanthpur
9461,https://www.swiggy.com/bangalore/freso-foods-yeshwanthpur-yeshwanthpur
9462,https://www.swiggy.com/bangalore/cake-gallery-sanjay-nagar-new-bel-rd-yeshwanthpur-yeshwanthpur
9463,https://www.swiggy.com/bangalore/dominos-pizza-vaishnavi-sapphire-mall-food-court-yeshwanthpur
9464,https://www.swiggy.com/bangalore/pavilion-sanjay-nagar-new-bel-rd-yeshwanthpur-yeshwanthpur
9465,https://www.swiggy.com/bangalore/five-star-chicken-indiranagar
9466,https://www.swiggy.com/bangalore/chickpet-donne-biryani-house-yeshwanthpur-yeshwanthpur
9467,https://www.swiggy.com/bangalore/baskin-robbins-yeshwanthpur
9468,https://www.swiggy.com/bangalore/tuckinto-sanjay-nagar-sanjay-nagar-new-bel-road-yeshwanthpur
9469,https://www.swiggy.com/bangalore/hotel-aasare-yeshwanthpur-yeshwanthpur
9470,https://www.swiggy.com/bangalore/five-star-chicken-opp-ramaiah-college-bus-stopbeside-andhra-bankmathikere-vam
9471,https://www.swiggy.com/bangalore/totarams-paranthas-new-bel-road-sanjay-nagar-new-bel-road
9472,https://www.swiggy.com/bangalore/fishing-boat-yeshwantpur-yeshwanthpur
9473,https://www.swiggy.com/bangalore/nandini-swadista-loka-bangalore-karnataka-india-rajajinagar
9474,https://www.swiggy.com/bangalore/south-savi-ruchi-yeshwanthpur
9475,https://www.swiggy.com/bangalore/priyadarshini-veg-sanjay-nagar-new-bel-rd-yeshwanthpur-yeshwanthpur
9476,https://www.swiggy.com/bangalore/smaaash-yeshwanthpur-yeshwanthpur
9477,https://www.swiggy.com/bangalore/thancos-natural-ice-cream-yeshwantpur-sanjay-nagar-new-bel-road-yeshwanthpur
9478,https://www.swiggy.com/bangalore/hotel-diamond-paradise-kanteerava-studio-signal-outer-ring-road-near-drrajkumar-samadinandinilayout-vam
9479,https://www.swiggy.com/bangalore/1992-chats-space-bangalore-yeshwanthpur
9480,https://www.swiggy.com/bangalore/venus-restaurant-yeshwanthpur
9481,https://www.swiggy.com/bangalore/tawa-tandoor-new-bel-road-sanjay-nagar-new-bel-road
9482,https://www.swiggy.com/bangalore/yumlane-pizza-yeshwanthpur
9483,https://www.swiggy.com/bangalore/kfc-yeshwanthpur-railway-station-yeshwanthpur
9484,https://www.swiggy.com/bangalore/fish-corner-sanjay-nagar-new-bel-rd-yeshwanthpur-yeshwanthpur
9485,https://www.swiggy.com/bangalore/sha-e-darbar-sanjay-nagar-new-bel-rd-yeshwanthpur-yeshwanthpur
9486,https://www.swiggy.com/bangalore/new-agarwal-bhavan-yeshwantpur-yeshwanthpur
9487,https://www.swiggy.com/bangalore/bib-english-breakfast-in-the-box-new-bel-road-sanjay-nagar-new-bel-road
9488,https://www.swiggy.com/bangalore/zamzam-kabab-house-yeshwanthpur
9489,https://www.swiggy.com/bangalore/calicut-restaurant-sanjay-nagar-new-bel-rd-yeshwanthpur-yeshwanthpur
9490,https://www.swiggy.com/bangalore/chameleon-lounge-bar-comfort-inn-insys-yeshwantpur-yeshwanthpur
9491,https://www.swiggy.com/bangalore/cinders-rooftop-barbeque-comfort-inn-insys-yeshwantpur-yeshwanthpur
9492,https://www.swiggy.com/bangalore/sgs-non-veg-gundu-pulav-mathikere-yeshwanthpur
9493,https://www.swiggy.com/bangalore/q3-food-corner-na-dummy-inbound-area
